partner_id,name,email,company_id,source_partner_id
11069,ETTA Solutions PLC,cso@odooethiopia.com,3,1883
11522,SYSERPTEK SOLUTIONS,hola@munin.mx,3,2704
11285,Nalios Québec,leads-qc@nalios.odoo.com,3,1319
11320,NumDesk (Private) Limited,odoo@numdesk.com,3,2910
11146,IFE GmbH,info@ife.de,3,2017
11300,Net Skill Group SPRL,baudouin@netskill.be,3,1129
11343,One Solution Consulting Limited,ved@oscl.mu,3,2686
10936,Ciranta IT Services Inc,info@cirantait.com,3,3827
11557,ThinkOpen Solutions (Portugal),sales@thinkopensolutions.pt,3,3176
10902,Blanco Martín & Asociados SpA,odoocl@bmya.cl,3,1408
11196,KamahTech,info@kamahtech.com,3,1698
11151,Industria Technology Ltd,petko.karamotchev@industria.tech,3,1269
11039,Editor d.o.o.,info@editor.si,3,3433
11541,TECHMATIC SYSTEMS INDIA PRIVATE LIMITED,sailajab@techmaticsys.com,3,2255
10991,Datenpol gmbh,stefan.wailand@datenpol.at,3,1334
10854,Araka,info@araka.io,3,3237
11432,REDSTRIPE,fmondragon@doerpartners.com,3,2722
11337,Odovia Integration,brieuc@odovia.com,3,1359
11331,ODION GmbH,da@odion.com,3,2020
11065,EsseTech marchio by DueEsseTi Srl,gzarbo@essetech.net,3,2473
10846,APP Infoweb Private Limited,nimesh@exhelp.co.in,3,2258
11312,Nioses Tech Private Limited,moses@nioses.com,3,2242
11634,الجريسي للخدمات الإلكترونية,info@jes.com.sa,3,3267
11036,Eco Tech,nada@ecotechq8.com,3,2563
10847,Applix,odoo@droggol.be,3,1113
10898,Biztech Computer,zaffar@biztechbh.biz,3,1082
10938,Click Theory,admin2@clicktheory.ca,3,1316
11629,Zmakan Technical Solutions,mashooq@zmakan.com,3,3203
11180,ITC Consult Ltd,odoo@itc-consult.net,3,1268
11515,SunArc Technologies,rajneesh.vyas@sunarctechnologies.com,3,2257
10975,CREVISOFT CORPORATE,odoo@crevisoft.com,3,1733
11260,Meisour Global Solutions,contact@meisour.com,3,3436
10800,ADFinance,olivier.mugabonake@adfinance.co,3,3236
11395,Prof Business,info@prof.business,3,3253
11558,Thinksoft,info@thinksoft.ca,3,1297
11592,VEGANET,leads.odoo@vegagroup.com.tn,3,3656
11224,Latus GmbH,hi@latus.ch,3,3563
11188,IT SYS Corporation,ayman.rawy@itsyscorp.com,3,1693
11617,Wiz Asia Sdn Bhd,sales@wiz.asia,3,2645
10834,Alwa Peru SA,contacto@alwaperu.pe,3,3062
11269,MindDX Dijital Dönüşüm Teknolojileri San. Ve Tic. A.Ş.,odoo@minddx.ai,3,3668
10932,Centrix Plus Integrated Solution,Burhan@centrixplus.com,3,2566
11569,Transformation Pioneers,odoo@tp.rihal.om,3,2893
11534,Tarabut,alzewail@yahoo.com,3,1702
11472,SINAR APLIKASI JAYA LAKSANA,info@readytogo.id,3,2381
11259,Mediod Consulting Pvt Ltd,info@mediodconsulting.com,3,2911
11244,LUIS GERARDO CRUZ GARCIA,luisgcruz@gmail.com,3,2708
11015,dooIT BV,petra@dooit.nl,3,2833
11481,SMART ENTERPRISE RESOURCES PLANNING AFRICA (PRIVATE) LIMITED,operations@serpa.africa,3,4215
11626,Zebroo GmbH,it@zebroo.de,3,2027
