module,prod_state,prod_installed_version,prod_runtime_path,canonical_manifest_version,prod_match,test_state,test_installed_version,test_runtime_path,test_shadows_canonical,copy_count
whatsapp_hub,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/whatsapp_hub,19.0.1.0.1,,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/whatsapp_hub,False,1
integration_bridge_core,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/integration_bridge_core,19.0.1.1.1,,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/integration_bridge_core,False,18
evolution_whatsapp_chat,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/evolution_whatsapp_chat,19.0.1.10.1,,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/evolution_whatsapp_chat,False,18
petspot_wa_intake,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/petspot_wa_intake,19.0.1.0.1,,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/petspot_wa_intake,False,17
petspot_clinic_portal,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/petspot_clinic_portal,19.0.2.3.0,,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/petspot_clinic_portal,False,17
petspot_vet_feedback,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/petspot_vet_feedback,19.0.1.0.0,,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/petspot_vet_feedback,False,1
petspot_campaign_rewards,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/petspot_campaign_rewards,19.0.1.2.0,,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/petspot_campaign_rewards,False,1
chatwoot_evolution_error_bridge,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/chatwoot_evolution_error_bridge,19.0.1.0.1,,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/chatwoot_evolution_error_bridge,False,2
dev_session_hub,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/dev_session_hub,19.0.9.0.0,,absent,,/home/sabry/odoo_base/base_odoo_19/releases/addons_overlay_staging/dev_session_hub,True,21
openproject_sync,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/openproject_sync,19.0.1.6.0,,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/openproject_sync,False,13
developer_hub,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/developer_hub,19.0.1.1.0,,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/developer_hub,False,2
devhub_core,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/devhub_core,19.0.9.0.1,,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/devhub_core,False,1
devhub_work,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/devhub_work,19.0.9.0.0,,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/devhub_work,False,1
devhub_session,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/devhub_session,19.0.9.0.0,,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/devhub_session,False,1
devhub_execution,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/devhub_execution,19.0.9.0.0,,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/devhub_execution,False,1
devhub_outbox,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/devhub_outbox,19.0.9.0.0,,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/devhub_outbox,False,1
devhub_generation,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/devhub_generation,19.0.9.0.0,,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/devhub_generation,False,1
devhub_git,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/devhub_git,19.0.9.0.0,,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/devhub_git,False,1
devhub_github,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/devhub_github,19.0.9.0.0,,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/devhub_github,False,1
devhub_deploy,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/devhub_deploy,19.0.9.0.0,,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/devhub_deploy,False,1
devhub_odoo_runtime,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/devhub_odoo_runtime,19.0.9.0.0,,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/devhub_odoo_runtime,False,1
devhub_infrastructure,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/devhub_infrastructure,19.0.9.0.0,,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/devhub_infrastructure,False,1
devhub_openproject,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/devhub_openproject,19.0.9.0.0,,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/devhub_openproject,False,1
devhub_code_analysis,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/devhub_code_analysis,19.0.9.0.0,,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/devhub_code_analysis,False,1
devhub_whatsapp,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/devhub_whatsapp,19.0.9.0.2,,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/devhub_whatsapp,False,1
social_media_connector,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/social_media_connector,19.0.1.0.1,,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/social_media_connector,False,17
veterinary_petget_bridge,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/veterinary_petget_bridge,19.0.2.1.0,,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/veterinary_petget_bridge,False,17
veterinary_pet_management_bridge,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/veterinary_pet_management_bridge,19.0.1.0.0,,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/veterinary_pet_management_bridge,False,17
petspot_backend_sidebar,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/petspot_backend_sidebar,19.0.1.1.1,,absent,,/home/sabry/odoo_base/base_odoo_19/projects/pet_spot_elsahel/petspot_backend_sidebar,False,1
