5|65|Software Developer - Odoo|PREMA Consulting|دبي     •  عبر Indeed|https://ae.indeed.com/viewjob?jk=600faeb8b3d80ac6
8|65|Odoo Developer (Specialized in API Integration & Workflow Automation)|Melya Cleaning Services|أبو ظبي     •  عبر BeBee|https://bebee.com/ae/jobs/odoo-developer-specialized-in-api-integration-workflow-automation-melya-cleaning-services-abu-dhabi--t7xk-750419496
10|65|Odoo Techno Functional Consultant|Vivandi|دبي     •  عبر BeBee|https://bebee.com/ae/jobs/odoo-techno-functional-consultant-vivandi-dubai--t7xk-773739037
1|40|Odoo Developer|Voxtron|دبي     •  عبر Indeed|https://ae.indeed.com/viewjob?jk=807d54d3ba8461bf
2|40|Odoo Developer cum Mobile Application Developer|ADDONS TECHNOLOGIES LLC|الإمارات العربية المتحدة     •  عبر Indeed|https://ae.indeed.com/m/viewjob?jk=d26917e97ed470f5&from=serp&tk=1ju8debi3jcn5801&xkcb=SoCa67M3gIS2rs0Rkx0HbzkdCdPP
4|40|Remote Python & Odoo ERP Developer|StairwaySoft, Ltd.|دبي     •  عبر Jobrapido.com|https://ae.jobrapido.com/jobpreview/1484844185776291840
6|40|Software & Odoo Developer|ITD Innovation Information Technology LLC|دبي     •  عبر Indeed|https://ae.indeed.com/viewjob?jk=e63d9db70d4a6e81
7|40|Python Developer / Odoo Developer (Owl and Python)|EMP GoWin|دبي     •  عبر Indeed|https://ae.indeed.com/viewjob?jk=ad5deeaaa6f4e9ad
3|30|Odoo Developer|Sukoon Agricultural Services LLC|أبو ظبي     •  عبر Indeed|https://ae.indeed.com/viewjob?jk=0267ac951cd1d865
9|30|Odoo Developer|Sukoon Agricultural Services LLC|أبو ظبي     •  عبر Glassdoor|https://www.glassdoor.com/job-listing/odoo-developer-sukoon-agricultural-services-llc-JV_IC2203308_KO0,14_KE15,47.htm?jl=1010204199797
11|25|Odoo ERP Senior Salesperson|Variety IT|مصر     •  عبر BeBee|https://bebee.com/eg/jobs/odoo-erp-senior-salesperson-variety-it-6th-of-october-cairo--t7xk-783211616
12|25|Junior Odoo Solutions Consultant - Remote & Growth|Eureco Software Solutions|Anywhere|https://himalayas.app/companies/eureco-software-solutions/jobs/junior-odoo-solutions-consultant-remote-growth
