id,score,title,company,location,listed_at,source,apply_url,is_duplicate,job_id,account_id
5,65,Software Developer - Odoo,PREMA Consulting,دبي     •  عبر Indeed,2026-08-03 03:34:48,JSearch-canary,https://ae.indeed.com/viewjob?jk=600faeb8b3d80ac6,f,LU9xUlZZOW9aNzdCa2hRSkFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTemxOUTNSdmJrMHpiV2hZVVc4MFZrTXlaekowVEY5NGVsYzBka2RVUmxsNlJtVm1RaTFoTjA4eVlUbDZTVzFpZDFCbFVGSjBTWEYwYzFaNmJGcEJSRTFFTWxKMlgzQTROemRHTm1GalRUbDZPRmQxTlVKR1QyNXlTVGhKV1hGcVJXNXNORkF4VTBrNWQxRnRZbk5rWWpodFRFeDNjbTFWZWkxd01tTnNZemxUY2xWdWRYY1NGMFZuZUhkaGNGQndUV1YyY0RkTk9GQnJkbkZ6TWtGM0dpSkJSSE55T1daVFRqbENaemQwY1VRelIzQjFTMHM1TURGTllXWlBWRXhTTnpCMw,2
8,65,Odoo Developer (Specialized in API Integration & Workflow Automation),Melya Cleaning Services,أبو ظبي     •  عبر BeBee,2026-08-03 03:34:48,JSearch-canary,https://bebee.com/ae/jobs/odoo-developer-specialized-in-api-integration-workflow-automation-melya-cleaning-services-abu-dhabi--t7xk-750419496,f,TmFWVDhKRkNjdERhbm5iZUFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTM2h0YURKTVRtaHphMDFuV0RGNVpub3djRWxNTWkwNU56QnZhRXBOUzNRMmVtbDZWMHhPVVRaWU4yRkdWbFJDTUVGU1FXMWFjamR2YW1NMFdqbFZlVFpTYzJkUVNtTlRSRVV5Y0hwa1V6RTJSMHhyY2pocmFIRm9SVEZDTmxsVk9WUkpZVE5oZGxSR01XRjJYM05PUzNKMlJVaE1hbWcyWjIxb05FcExiWE14YjJad1kwUVNGMFZuZUhkaGNGQndUV1YyY0RkTk9GQnJkbkZ6TWtGM0dpSkJSSE55T1daU05TMXhUSG96YzFwR1ZIaHNNWGRLYlZGMWJ6SkhNMWR0U1cxQg,2
10,65,Odoo Techno Functional Consultant,Vivandi,دبي     •  عبر BeBee,2026-08-03 03:34:48,JSearch-canary,https://bebee.com/ae/jobs/odoo-techno-functional-consultant-vivandi-dubai--t7xk-773739037,f,cFZXa1hqUnZpY3Z4SXVrbEFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTbko2VkZaWU1WUjJPWEprU0VsWVVYQlZORlp0V2kxWE5tOXpWak5IY25NNGRtY3haRmxEV0daek1IZEllSGh4WDB0R1h6Rk5jREZUTW1relFtVkdTakZ2WlUxQ1JXVlplVUZyYlZoNFdtTndialoxUWxjNE1YTmFSRzFPUlhWZmNUVklTM0UwU1d4WWVYUkhUMGRyY1c5ellVeDBNbDlJYTA5b09WbGZWR1ZsZWxGWU5uY1NGMFZuZUhkaGNGQndUV1YyY0RkTk9GQnJkbkZ6TWtGM0dpSkJSSE55T1daVVdVUlhTRGhCYWxoMWF6bFBhSEZrWmxSMU1VdGpTVTk0WDFoQg,2
1,40,Odoo Developer,Voxtron,دبي     •  عبر Indeed,2026-08-03 03:52:21,JSearch-daily,https://ae.indeed.com/viewjob?jk=807d54d3ba8461bf,f,ZzFVMUowaVRYWHluT1JGWUFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTMnBEVFdSNlNVczRhVkZ1YldKZmJHbFdjR2hGWjFCZlVXRkZaakZLTTFscFVHbGpkMkppV0dnMFltVnBVbGhXUzJSemVrbE1abTlzVm1kaE4wdDJlVFJoZWpSU1JHeHNjV1ZUV1hOMExVWktVVEpXTVdwMlh6bHhYMU5TYUhaTlNWTmFiVjk1V0hCWllqSjFOWEJ2VVRZMllUQm5WMmhzZVdaT1NtMVBOMlpGVUV4b1JHTVNGMkpTUW5kaGNIVXlSV1YyTVdrdFoxQjNMWGxwTUZGekdpSkJSSE55T1daU01ETmllalpIY0ZreVdFWm5UMVUxVnpKcU0wcExjM04xVkU5bg,2
2,40,Odoo Developer cum Mobile Application Developer,ADDONS TECHNOLOGIES LLC,الإمارات العربية المتحدة     •  عبر Indeed,2026-08-03 03:34:48,JSearch-canary,https://ae.indeed.com/m/viewjob?jk=d26917e97ed470f5&from=serp&tk=1ju8debi3jcn5801&xkcb=SoCa67M3gIS2rs0Rkx0HbzkdCdPP,f,UmtPVjRaR0Y2ZGdDekUxTEFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTMTlPTW05a01UWk9la0pWWTFrNGJFaFZXazR3V2w5VU5YUmllV05SYVhOa2RrbFFaV3hHY1RSQ1Z6RjJjVmhvU1MxYVV6SkpXRnBpVVVOU2RWaE1VVVp3YWkxc01VZDRTRzVJYlY5MmNtRkZZMVpSUTNaWFNYWlZZV014TFdaZllscE1lVzlWT0RWalRuSjJkQzFDY0ROd0xTMWZiM0V5Tld0cVh6WnRVbkZCYTJ4RmVqUVNGMFZuZUhkaGNGQndUV1YyY0RkTk9GQnJkbkZ6TWtGM0dpSkJSSE55T1daVU4yeHRYelZrTmt4WFpYRmlkeTB5Wm1OYU4xa3dWSGd5VGpsMw,2
4,40,Remote Python & Odoo ERP Developer,"StairwaySoft, Ltd.",دبي     •  عبر Jobrapido.com,2026-08-03 03:34:48,JSearch-canary,https://ae.jobrapido.com/jobpreview/1484844185776291840,f,Q3RzVmFrOVM4QTFHUHdOckFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTbW90ZEY5M2VGTkdTVjgyVG1GalpUUXlOSFpQVGtwSlkxZGxTbUpOWmtoV2NrWTVWMkp4YXpFMFpsTnhXbXRzYjFSalZ6ZHFNVzExWVdacVNWZHdZekkyVDNWUE9VTklVR0ZTUWtnelNsOHdNbEpJYldGUlVrMVdiR0ZHWlc5WlRIVTRTRWxRTjJNd1pHazJNSEZtTkRreWQyMXJZV3BHZUdoV1JqZFpibmMwTm1aa2QyOFNGMFZuZUhkaGNGQndUV1YyY0RkTk9GQnJkbkZ6TWtGM0dpSkJSSE55T1daU05VcEdXVTB5VVRaYWVFZGFiMWg2TTBOS1YzUlZkazF2VWxoQg,2
6,40,Software & Odoo Developer,ITD Innovation Information Technology LLC,دبي     •  عبر Indeed,2026-08-03 03:34:48,JSearch-canary,https://ae.indeed.com/viewjob?jk=e63d9db70d4a6e81,f,Ui1XN1d0X0pwRTI5SUpILUFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTazVwTjJweGJFVlFPRGxSV1d4Zloyd3lWVnB6WDBKWE5HTkJVMkpsVFU0NGNFbEtkSGxWZEZkbU1VWnNkVXhZWDFwdmNHWjFUMFpUTWtGQlgxTnFVVGxQUWtwWVh6SllZMVJVVWxRd2NIRlljbFZZYlRJNFVXOXhXR1ZCWkRKcVFqaHBSbU5KTVdaaE1IRlBValpDUmtkQlREVjZaSFZWYm0xM1NqRmtOMk5UVEhkRVExY1NGMFZuZUhkaGNGQndUV1YyY0RkTk9GQnJkbkZ6TWtGM0dpSkJSSE55T1daVFh6aHhZMWR5YkcxZmJITlhkVmRWUWpSeVVWcEpaRlpRU1ZCMw,2
7,40,Python Developer / Odoo Developer (Owl and Python),EMP GoWin,دبي     •  عبر Indeed,2026-08-03 03:34:48,JSearch-canary,https://ae.indeed.com/viewjob?jk=ad5deeaaa6f4e9ad,f,Zm1GaGYxX3ozS3dNUkF0ckFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBUSGRvYVRWU2FWaGpRMk5wU25BME5FcE1jRlJzYTNGSk1HZEZiR2RIVlVsRWQwWXpkMFE0ZHpaM2J6VnRPWEF6TUhNNGRHNTZabXB3TTJ0b0xUaFhWVFUzZVUxRWJHcFRWRVJUVGtSbFQwdDNNa2xoWmxWSFFrbGpjbmQyZW14MkxXbDJkRWRRVEVOTVdtcFJjRzVyTTBKTlN6bHFMVEJmTldWeGRWcFhVVmRYVjNkNFREa1NGMFZuZUhkaGNGQndUV1YyY0RkTk9GQnJkbkZ6TWtGM0dpSkJSSE55T1daVWJGcGhUWFZUYlVwV1NVRnJXbTVMYTNwYVEyNWpaelF3TkUxbg,2
3,30,Odoo Developer,Sukoon Agricultural Services LLC,أبو ظبي     •  عبر Indeed,2026-08-03 03:34:48,JSearch-canary,https://ae.indeed.com/viewjob?jk=0267ac951cd1d865,f,Y2RIekNMVzdIRUFmRV9ZSkFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTVTEwU1ZWV2VHaDNVbGhwZWt4V1psZGtSa1F3ZW1aQmVUSk9jRGRMVGtSSmQyUjNkek5mWkRoRGFYVkViakZSYjNSWmVVazVWSEZ2UkZoVlZVUk5NSGh6Y0VjelNUaDZlakI2VVdsWGVsUjJjVXhqZHpKSlMzbDJVRWR4TWpWNFQxa3lOSFZwZGtOR1VGUlVWRTlLY2xJeFUzQkViV1ZOUW5GT2FreHBZVm81U1ZCemNESVNGMFZuZUhkaGNGQndUV1YyY0RkTk9GQnJkbkZ6TWtGM0dpSkJSSE55T1daU1YyMVZkRVYxYTNCWVNtSjZVMWgzWTJ0dVMzVjBaRGhITnpoMw,2
9,30,Odoo Developer,Sukoon Agricultural Services LLC,أبو ظبي     •  عبر Glassdoor,2026-08-03 03:34:48,JSearch-canary,"https://www.glassdoor.com/job-listing/odoo-developer-sukoon-agricultural-services-llc-JV_IC2203308_KO0,14_KE15,47.htm?jl=1010204199797",f,REhzLUtwZjl2cHQxWUtYcEFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBUR05RUVdaMGRtWlZiR1ZCZEY5elIydFRlRzFIUVhGUWRWOXJla0pFV0U1M1ZHUlhVVFozVGtsaWJXaDFTR3A0UVdkWWVUQjFWRXBSVTJwbVJscGZTakZGUkU1bmF6Z3dOeTFoVTFwMk0wODBha28wTTFNM1VrZGtSR1pUVDNwUlVISXpNV0Y0UW10VU9YbFNRbTVZUmpGTE5HMDBWM0JhZUdaMmVFVkljREZJU0ZRellqRVNGMFZuZUhkaGNGQndUV1YyY0RkTk9GQnJkbkZ6TWtGM0dpSkJSSE55T1daVVVqRjBTVGwzVUdaM2FUbDFkelJZWWsxWmRrbERaM001UlY5Ug,2
11,25,Odoo ERP Senior Salesperson,Variety IT,مصر     •  عبر BeBee,2026-08-03 03:52:26,JSearch-daily,https://bebee.com/eg/jobs/odoo-erp-senior-salesperson-variety-it-6th-of-october-cairo--t7xk-783211616,f,Q0pYSTAyLTBwejU4RlhvakFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTVkZwY0d4TlJVTjNMVTR5ZW5WWlFTMVNRblZYU2tSaFdsOWtRM05YYVd0NlVsZzVhMjVqUVV4SFRYZEhNMVJSZVRoaWVUQldVVWxwVjJWNU1WUkhNWGRSVkdkUmRXSmZhRUUyZUhNelNEWnpUWEpPTlZaclNrRXhMVEp6WW1KTE0xbE1iMkpqT0RCMlExSXpabXB0VnpsR1YzRkxkV0phVmpWVGNVSlpTWGt3YjJrNFZVMFNGMlJTUW5kaGMwY3RUR1Z5ZFhkUVFWQTFZVXhGZFZGSkdpSkJSSE55T1daVVZVaEZVbFozYTBOU1pUSmhXbkJYVGxWallreE5RV1pETW5wQg,2
12,25,Junior Odoo Solutions Consultant - Remote & Growth,Eureco Software Solutions,Anywhere,2026-07-30 00:00:00,JSearch-daily,https://himalayas.app/companies/eureco-software-solutions/jobs/junior-odoo-solutions-consultant-remote-growth,f,ZUgyaFFzT0kyenVkM0tuaEFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTbE5OZUdSTVExUlZWV2x2UkVGMlNtZDRabGxHTVRGQlowdFRXR3BqT0VOMFpsSlhRM2hCVHpOTU1IbGlZVjlOVjFOMmFXVkhjakZMUTNOQ2VXaFRXbVZ0V0daUE5uTTJUVjh4VlhOVlNuSnFVRTlHVTJSNVkydDRhMHhvYzJveVFtMU5jWGhTYmpFNFZVcFFMWEp0TUVJeGMzaDNaRTF3YkZCRFJIRXRlV3hRYW1SNFdUa1NGMnQ0UW5kaGNtMWpSblZwUjNjNFkxQTBOR2xtTWtGckdpSkJSSE55T1daUlRraG9WMnB3UldRemFVWkpTRGhMWlROaE1GUjBkSEZJY2tkUg,2
